time_period,time_identifier,geographic_level,country_code,country_name,version,school_type,school_type_group,characteristic_gender,number_of_students,aps_per_entry_2016_2022,aps_per_entry_2013_2015,aps_per_entry_grade_2016_2022,aps_per_entry_grade_2013_2015,pc_achieving_atleast_two_alev,entered_for_one_or_more_alev_or_applied,aps_per_entry_best3,aps_per_entry_grade_best3,pc_achieving_3_astar_to_a_alev,pc_achieving_aab_or_better_alev,entered_for_one_or_more_alev,pc_achieving_aab_or_better_atleast_two_facilitating_alev,year,year_2013_2015,year_2016_2022
202122,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,All students,54506,36.2054,,B-,,85.961,39522,35.9074,B-,15.569,25.366,39522,14.126,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,All students,34666,45.4553,,A-,,94.228,28479,45.3849,A-,40.433,54.545,28479,39.408,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All schools,All schools,All students,230108,39.3507,,B,,88.906,176661,39.8365,B,24.345,36.129,176661,25.068,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,All students,284614,38.773,,B,,88.342,216512,39.0885,B,22.706,34.109,216512,23.033,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,All students,195400,38.1881,,B-,,87.969,148153,38.7733,B,21.256,32.594,148153,22.315,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,All students,249906,37.7691,,B-,,87.531,187928,38.1436,B-,20.032,31.03,187928,20.563,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,All students,134568,38.9651,,B,,89.911,105092,39.488,B,22.863,34.638,105092,23.601,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,All students,3035,35.2769,,B-,,92.949,2677,35.5111,B-,13.821,24.057,2677,16.959,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,All students,5149,39.9128,,B,,87.143,4092,38.8376,B,23.656,34.14,4092,26.222,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,All students,34600,45.4737,,A-,,94.306,28443,45.4123,A-,40.477,54.604,28443,39.451,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,All students,66,30.2905,,C,,53.03,36,23.7037,D+,5.556,8.333,36,5.556,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,All students,31364,37.5176,,B-,,87.154,23603,38.108,B-,19.142,30.119,23603,20.654,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,All students,21445,33.2859,,C+,,86.873,16169,32.5316,C+,9.153,16.593,16169,7.929,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,All students,33061,38.1207,,B-,,85.369,23353,38.2448,B-,20.01,31.439,23353,18.417,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,All students,19117,33.9391,,C+,,78.684,11647,35.163,B-,12.741,21.765,11647,14.562,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,All students,284,30.0916,,C,,60.915,106,29.7799,C,8.491,14.151,106,7.547,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,All students,1464,27.7473,,C-,,51.434,606,27.3872,C-,8.251,12.211,606,12.046,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,Female,32497,36.9172,,B-,,86.14,23138,36.6834,B-,15.606,26.355,23138,12.685,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,Female,17113,46.2832,,A-,,95.354,14485,46.2115,A-,41.961,57.045,14485,39.448,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All schools,All schools,Female,123822,40.0394,,B,,89.424,95081,40.5184,B,24.289,37.121,95081,23.63,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,Female,156319,39.4181,,B,,88.741,118397,39.7386,B,22.555,34.961,118397,21.456,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,Female,106691,38.9502,,B,,88.476,80581,39.4979,B,21.115,33.545,80581,20.79,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,Female,139188,38.4909,,B,,87.931,103852,38.8443,B,19.861,31.9,103852,18.958,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,Female,73867,39.7145,,B,,90.322,57378,40.2585,B,22.808,35.902,57378,22.164,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,Female,1465,36.2366,,B-,,94.13,1309,36.5724,B-,14.515,25.745,1309,16.348,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,Female,2965,39.9759,,B,,85.767,2301,38.576,B,21.817,32.551,2301,22.86,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,Female,17092,46.2943,,A-,,95.419,14476,46.2299,A-,41.987,57.081,14476,39.472,2022,,2022
