time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,establishment_type_group,characteristic_sex,number_of_students,aps_per_entry,aps_per_entry_2013_2015,aps_per_entry_grade,aps_per_entry_grade_2013_2015,year_2013_2015,year
202324,Academic year,National,E92000001,England,Provisional,All FE sector colleges,All FE sector colleges,Female,35863,33.0646,NA,C+, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All independent schools,All independent schools,Female,18658,43.3592,NA,B+, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All schools,All schools,Female,125481,36.8277,NA,B-, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All institutions,All Institutions,Female,161094,36.0529,NA,B-, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All state-funded schools,All state-funded schools,Female,106803,35.5823,NA,B-, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,Female,142488,34.9894,NA,C+, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,All state-funded schools,Female,74258,36.2259,NA,B-, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,Free schools,All state-funded schools,Female,2047,33.4817,NA,C+, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,Free schools 16-19,All state-funded schools,Female,3642,37.7422,NA,B-, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,Independent schools,All independent schools,Female,18608,43.3807,NA,B+, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,Independent special schools,All independent schools,Female,50,28.8272,NA,C, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,All state-funded schools,Female,15605,34.9721,NA,C+, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,All FE sector colleges,Female,15708,29.7601,NA,C, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,Sixth form colleges,All FE sector colleges,Female,20155,35.5485,NA,B-, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,All state-funded schools,Female,10344,31.6181,NA,C, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,Studio schools,All state-funded schools,Female,90,30.962,NA,C, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),All state-funded schools,Female,554,25.9699,NA,C-, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All FE sector colleges,All FE sector colleges,Male,24501,31.6369,NA,C, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All independent schools,All independent schools,Male,18412,42.2664,NA,B+, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All schools,All schools,Male,110704,35.4873,NA,B-, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All institutions,All Institutions,Male,135009,34.8342,NA,C+, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All state-funded schools,All state-funded schools,Male,92265,34.0363,NA,C+, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,Male,116623,33.5603,NA,C+, ,NA,2024
