year,time_period,school_type,school_type_group,characteristic_gender,number_of_students,aps,aps_grade,version,cert_type
2022,202122,All FE sector colleges,FE sector colleges,All students,54506,36.2054,B-,Provisional,Alevel
2022,202122,All independent schools,Independent schools,All students,34666,45.4553,A-,Provisional,Alevel
2022,202122,All schools,All schools,All students,230108,39.3507,B,Provisional,Alevel
2022,202122,All schools and FE sector colleges,All Institutions,All students,284614,38.773,B,Provisional,Alevel
2022,202122,All state-funded schools,State-funded schools,All students,195400,38.1881,B-,Provisional,Alevel
2022,202122,All state-funded schools and colleges,All state-funded,All students,249906,37.7691,B-,Provisional,Alevel
2022,202122,Converter academies - mainstream,State-funded schools,All students,134568,38.9651,B,Provisional,Alevel
2022,202122,Free schools,State-funded schools,All students,3035,35.2769,B-,Provisional,Alevel
2022,202122,Free schools 16-19,State-funded schools,All students,5149,39.9128,B,Provisional,Alevel
2022,202122,Independent schools,Independent schools,All students,34600,45.4737,A-,Provisional,Alevel
2022,202122,Independent special schools,Independent schools,All students,66,30.2905,C,Provisional,Alevel
2022,202122,LA maintained mainstream schools,State-funded schools,All students,31364,37.5176,B-,Provisional,Alevel
2022,202122,Other FE sector colleges,FE sector colleges,All students,21445,33.2859,C+,Provisional,Alevel
2022,202122,Sixth form colleges,FE sector colleges,All students,33061,38.1207,B-,Provisional,Alevel
2022,202122,Sponsored academies - mainstream,State-funded schools,All students,19117,33.9391,C+,Provisional,Alevel
2022,202122,Studio schools,State-funded schools,All students,284,30.0916,C,Provisional,Alevel
2022,202122,University Technical Colleges (UTCs),State-funded schools,All students,1464,27.7473,C-,Provisional,Alevel
2022,202122,All FE sector colleges,FE sector colleges,Female,32497,36.9172,B-,Provisional,Alevel
2022,202122,All independent schools,Independent schools,Female,17113,46.2832,A-,Provisional,Alevel
2022,202122,All schools,All schools,Female,123822,40.0394,B,Provisional,Alevel
2022,202122,All schools and FE sector colleges,All Institutions,Female,156319,39.4181,B,Provisional,Alevel
2022,202122,All state-funded schools,State-funded schools,Female,106691,38.9502,B,Provisional,Alevel
2022,202122,All state-funded schools and colleges,All state-funded,Female,139188,38.4909,B,Provisional,Alevel
2022,202122,Converter academies - mainstream,State-funded schools,Female,73867,39.7145,B,Provisional,Alevel
2022,202122,Free schools,State-funded schools,Female,1465,36.2366,B-,Provisional,Alevel
2022,202122,Free schools 16-19,State-funded schools,Female,2965,39.9759,B,Provisional,Alevel
2022,202122,Independent schools,Independent schools,Female,17092,46.2943,A-,Provisional,Alevel
2022,202122,Independent special schools,Independent schools,Female,21,28.8889,C,Provisional,Alevel
2022,202122,LA maintained mainstream schools,State-funded schools,Female,17152,38.2214,B-,Provisional,Alevel
2022,202122,Other FE sector colleges,FE sector colleges,Female,13173,33.9247,C+,Provisional,Alevel
2022,202122,Sixth form colleges,FE sector colleges,Female,19324,38.9867,B,Provisional,Alevel
2022,202122,Sponsored academies - mainstream,State-funded schools,Female,10377,34.7483,C+,Provisional,Alevel
2022,202122,Studio schools,State-funded schools,Female,128,30.3053,C,Provisional,Alevel
2022,202122,University Technical Colleges (UTCs),State-funded schools,Female,484,28.1925,C-,Provisional,Alevel
2022,202122,All FE sector colleges,FE sector colleges,Male,22009,35.1735,B-,Provisional,Alevel
2022,202122,All independent schools,Independent schools,Male,17550,44.6355,B+,Provisional,Alevel
2022,202122,All schools,All schools,Male,106283,38.5553,B,Provisional,Alevel
2022,202122,All schools and FE sector colleges,All Institutions,Male,128292,37.9966,B-,Provisional,Alevel
2022,202122,All state-funded schools,State-funded schools,Male,88709,37.2817,B-,Provisional,Alevel
2022,202122,All state-funded schools and colleges,All state-funded,Male,110718,36.8744,B-,Provisional,Alevel
2022,202122,Converter academies - mainstream,State-funded schools,Male,60701,38.0647,B-,Provisional,Alevel
2022,202122,Free schools,State-funded schools,Male,1570,34.3728,C+,Provisional,Alevel
2022,202122,Free schools 16-19,State-funded schools,Male,2184,39.8315,B,Provisional,Alevel
2022,202122,Independent schools,Independent schools,Male,17505,44.6603,B+,Provisional,Alevel
2022,202122,Independent special schools,Independent schools,Male,45,30.7865,C,Provisional,Alevel
2022,202122,LA maintained mainstream schools,State-funded schools,Male,14212,36.6832,B-,Provisional,Alevel
2022,202122,Other FE sector colleges,FE sector colleges,Male,8272,32.2835,C+,Provisional,Alevel
2022,202122,Sixth form colleges,FE sector colleges,Male,13737,36.928,B-,Provisional,Alevel
2022,202122,Sponsored academies - mainstream,State-funded schools,Male,8740,32.9783,C+,Provisional,Alevel
2022,202122,Studio schools,State-funded schools,Male,156,29.8944,C,Provisional,Alevel
2022,202122,University Technical Colleges (UTCs),State-funded schools,Male,980,27.5252,C-,Provisional,Alevel
2021,202021,All FE sector colleges,FE sector colleges,All students,54083,38.5087,B,Provisional,Alevel
2021,202021,All independent schools,Independent schools,All students,34555,49.3454,A,Provisional,Alevel
2021,202021,All schools,All schools,All students,217677,42.3235,B+,Provisional,Alevel
2021,202021,All schools and FE sector colleges,All Institutions,All students,271072,41.6011,B,Provisional,Alevel
2021,202021,All state-funded schools,State-funded schools,All students,183091,40.9221,B,Provisional,Alevel
2021,202021,All state-funded schools and colleges,All state-funded,All students,236597,40.3975,B,Provisional,Alevel
2021,202021,Converter academies - mainstream,State-funded schools,All students,125398,41.281,B,Provisional,Alevel
2021,202021,Free schools,State-funded schools,All students,2627,40.7546,B,Provisional,Alevel
2021,202021,Free schools 16-19,State-funded schools,All students,4144,42.5426,B+,Provisional,Alevel
2021,202021,Independent schools,Independent schools,All students,34510,49.3543,A,Provisional,Alevel
2021,202021,Independent special schools,Independent schools,All students,45,36.5441,B-,Provisional,Alevel
2021,202021,LA maintained mainstream schools,State-funded schools,All students,31289,40.5982,B,Provisional,Alevel
2021,202021,Other FE sector colleges,FE sector colleges,All students,20332,36.948,B-,Provisional,Alevel
2021,202021,Sixth form colleges,FE sector colleges,All students,33751,39.4422,B,Provisional,Alevel
2021,202021,Sponsored academies - mainstream,State-funded schools,All students,17696,38.5285,B,Provisional,Alevel
2021,202021,Studio schools,State-funded schools,All students,255,37.8671,B-,Provisional,Alevel
2021,202021,University Technical Colleges (UTCs),State-funded schools,All students,1256,36.0091,B-,Provisional,Alevel
2021,202021,All FE sector colleges,FE sector colleges,Female,32101,39.5115,B,Provisional,Alevel
2021,202021,All independent schools,Independent schools,Female,17144,50.5511,A,Provisional,Alevel
2021,202021,All schools,All schools,Female,117815,43.2954,B+,Provisional,Alevel
2021,202021,All schools and FE sector colleges,All Institutions,Female,149582,42.523,B+,Provisional,Alevel
2021,202021,All state-funded schools,State-funded schools,Female,100658,41.9601,B+,Provisional,Alevel
2021,202021,All state-funded schools and colleges,All state-funded,Female,132471,41.393,B,Provisional,Alevel
2021,202021,Converter academies - mainstream,State-funded schools,Female,68971,42.3823,B+,Provisional,Alevel
2021,202021,Free schools,State-funded schools,Female,1350,41.5349,B,Provisional,Alevel
2021,202021,Free schools 16-19,State-funded schools,Female,2319,42.7883,B+,Provisional,Alevel
2021,202021,Independent schools,Independent schools,Female,17136,50.5528,A,Provisional,Alevel
2021,202021,Independent special schools,Independent schools,Female,8,40,B,Provisional,Alevel
2021,202021,LA maintained mainstream schools,State-funded schools,Female,17448,41.4119,B,Provisional,Alevel
2021,202021,Other FE sector colleges,FE sector colleges,Female,12434,37.8323,B-,Provisional,Alevel
2021,202021,Sixth form colleges,FE sector colleges,Female,19667,40.5674,B,Provisional,Alevel
2021,202021,Sponsored academies - mainstream,State-funded schools,Female,9826,39.6188,B,Provisional,Alevel
2021,202021,Studio schools,State-funded schools,Female,94,41.9888,B+,Provisional,Alevel
2021,202021,University Technical Colleges (UTCs),State-funded schools,Female,403,38.474,B,Provisional,Alevel
2021,202021,All FE sector colleges,FE sector colleges,Male,21982,37.0646,B-,Provisional,Alevel
2021,202021,All independent schools,Independent schools,Male,17410,48.1189,A-,Provisional,Alevel
2021,202021,All schools,All schools,Male,99861,41.1844,B,Provisional,Alevel
2021,202021,All schools and FE sector colleges,All Institutions,Male,121489,40.477,B,Provisional,Alevel
2021,202021,All state-funded schools,State-funded schools,Male,82433,39.6705,B,Provisional,Alevel
2021,202021,All state-funded schools and colleges,All state-funded,Male,104126,39.1491,B,Provisional,Alevel
2021,202021,Converter academies - mainstream,State-funded schools,Male,56427,39.9527,B,Provisional,Alevel
2021,202021,Free schools,State-funded schools,Male,1277,39.9388,B,Provisional,Alevel
2021,202021,Free schools 16-19,State-funded schools,Male,1825,42.2471,B+,Provisional,Alevel
2021,202021,Independent schools,Independent schools,Male,17373,48.1338,A-,Provisional,Alevel
2021,202021,Independent special schools,Independent schools,Male,37,36.0833,B-,Provisional,Alevel
2021,202021,LA maintained mainstream schools,State-funded schools,Male,13841,39.5894,B,Provisional,Alevel
2021,202021,Other FE sector colleges,FE sector colleges,Male,7898,35.5723,B-,Provisional,Alevel
2021,202021,Sixth form colleges,FE sector colleges,Male,14084,37.8943,B-,Provisional,Alevel
2021,202021,Sponsored academies - mainstream,State-funded schools,Male,7870,37.1746,B-,Provisional,Alevel
2021,202021,Studio schools,State-funded schools,Male,161,35.6068,B-,Provisional,Alevel
2021,202021,University Technical Colleges (UTCs),State-funded schools,Male,853,34.8591,C+,Provisional,Alevel
2020,201920,All FE sector colleges,FE sector colleges,All students,57963,36.596,B-,Provisional,Alevel
2020,201920,All independent schools,Independent schools,All students,34836,46.4127,A-,Provisional,Alevel
2020,201920,All schools,All schools,All students,215072,40.2177,B,Provisional,Alevel
2020,201920,All schools and FE sector colleges,All Institutions,All students,271601,39.509,B,Provisional,Alevel
2020,201920,All state-funded schools,State-funded schools,All students,180199,38.9446,B,Provisional,Alevel
2020,201920,All state-funded schools and colleges,All state-funded,All students,236929,38.4193,B,Provisional,Alevel
2020,201920,Converter academies - mainstream,State-funded schools,All students,123141,39.4346,B,Provisional,Alevel
2020,201920,Free schools,State-funded schools,All students,1903,36.9771,B-,Provisional,Alevel
2020,201920,Free schools 16-19,State-funded schools,All students,3216,41.1184,B,Provisional,Alevel
2020,201920,Independent schools,Independent schools,All students,34786,46.4202,A-,Provisional,Alevel
2020,201920,Independent special schools,Independent schools,All students,50,36.8182,B-,Provisional,Alevel
2020,201920,LA maintained mainstream schools,State-funded schools,All students,31944,38.5038,B,Provisional,Alevel
2020,201920,Other FE sector colleges,FE sector colleges,All students,23304,34.0458,C+,Provisional,Alevel
2020,201920,Sixth form colleges,FE sector colleges,All students,34659,38.2146,B-,Provisional,Alevel
2020,201920,Sponsored academies - mainstream,State-funded schools,All students,18103,36.1329,B-,Provisional,Alevel
2020,201920,Studio schools,State-funded schools,All students,271,36.7416,B-,Provisional,Alevel
2020,201920,University Technical Colleges (UTCs),State-funded schools,All students,1185,33.4449,C+,Provisional,Alevel
2020,201920,All FE sector colleges,FE sector colleges,Female,34266,37.3959,B-,Provisional,Alevel
2020,201920,All independent schools,Independent schools,Female,17629,47.3903,A-,Provisional,Alevel
2020,201920,All schools,All schools,Female,117004,40.9614,B,Provisional,Alevel
2020,201920,All schools and FE sector colleges,All Institutions,Female,150512,40.2158,B,Provisional,Alevel
2020,201920,All state-funded schools,State-funded schools,Female,99357,39.7296,B,Provisional,Alevel
2020,201920,All state-funded schools and colleges,All state-funded,Female,132972,39.177,B,Provisional,Alevel
2020,201920,Converter academies - mainstream,State-funded schools,Female,67815,40.2016,B,Provisional,Alevel
2020,201920,Free schools,State-funded schools,Female,983,38.1909,B-,Provisional,Alevel
