year,time_period,time_identifier,geographic_level,country_code,country,data_version,subject_name,characteristic_value,perc_astar_grade_achieved,perc_a_grade_achieved,perc_b_grade_achieved,perc_c_grade_achieved,perc_d_grade_achieved,perc_e_grade_achieved,other,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved,entry_count
1996,199596,Academic year,National,E92000001,England,Final,Total subjects,All students,NA,16.2,18,19.7,18.1,13.6,14.4,16,34,54,72,86,620164
1996,199596,Academic year,National,E92000001,England,Final,Total subjects,Female,NA,15.9,18.5,20.3,18.3,13.4,13.7,16,34,55,73,86,323992
1996,199596,Academic year,National,E92000001,England,Final,Total subjects,Male,NA,16.6,17.4,19.1,18,13.7,15.1,17,34,53,71,85,296172
1996,199596,Academic year,National,E92000001,England,Final,Total Music,All students,NA,20.2,20.5,23.1,18.1,10.9,7.2,20,41,64,82,93,5402
1996,199596,Academic year,National,E92000001,England,Final,Total Music,Female,NA,19,20.7,23.9,18.6,11,6.9,19,40,64,82,93,3363
1996,199596,Academic year,National,E92000001,England,Final,Total Music,Male,NA,22.3,20.1,21.7,17.4,10.8,7.7,22,42,64,82,92,2039
1996,199596,Academic year,National,E92000001,England,Final,Total Modern  languages,All students,NA,22,18,19,16,12,11,22,40,60,76,89,39554
1996,199596,Academic year,National,E92000001,England,Final,Total Modern  languages,Female,NA,21,18,20,17,12,12,21,40,59,76,88,27173
1996,199596,Academic year,National,E92000001,England,Final,Total Modern  languages,Male,NA,24,19,19,16,12,11,24,43,62,78,89,12381
1996,199596,Academic year,National,E92000001,England,Final,Total Maths,All students,NA,25.2,19.3,17.3,14.6,11.3,12.3,25,44,62,76,88,54125
1996,199596,Academic year,National,E92000001,England,Final,Total Maths,Female,NA,25.2,21,17.8,14.7,10.7,10.6,25,46,64,79,89,19118
1996,199596,Academic year,National,E92000001,England,Final,Total Maths,Male,NA,25.3,18.4,17,14.5,11.6,13.3,25,44,61,75,87,35007
1996,199596,Academic year,National,E92000001,England,Final,Total English,All students,NA,14.8,19.6,22,20.8,14,8.8,15,34,56,77,91,72544
1996,199596,Academic year,National,E92000001,England,Final,Total English,Female,NA,14.4,19.4,22.4,21.4,14.1,8.3,14,34,56,78,92,50115
1996,199596,Academic year,National,E92000001,England,Final,Total English,Male,NA,15.6,20.2,20.9,19.6,13.7,10.1,16,36,57,76,90,22429
1996,199596,Academic year,National,E92000001,England,Final,Total Classical studies,All students,NA,25.7,21.5,20.5,15.6,9,7.7,26,47,68,83,92,6409
1996,199596,Academic year,National,E92000001,England,Final,Total Classical studies,Female,NA,24.7,22.3,21.8,15.8,8.5,6.9,25,47,69,85,93,3639
1996,199596,Academic year,National,E92000001,England,Final,Total Classical studies,Male,NA,27.1,20.4,18.8,15.3,9.6,8.7,27,48,66,82,91,2770
1996,199596,Academic year,National,E92000001,England,Final,STEM subjects,All students,NA,21,19,18,16,13,14,21,40,58,73,86,174063
1996,199596,Academic year,National,E92000001,England,Final,STEM subjects,Female,NA,20,21,19,16,12,13,20,40,59,75,87,68342
1996,199596,Academic year,National,E92000001,England,Final,STEM subjects,Male,NA,21,18,18,16,13,15,21,39,57,73,85,105721
1996,199596,Academic year,National,E92000001,England,Final,Spanish,All students,NA,22.6,21.1,19,15.3,10.8,11.1,23,44,63,78,89,4095
1996,199596,Academic year,National,E92000001,England,Final,Spanish,Female,NA,21.7,20.7,18.5,15.9,11.6,11.7,22,42,61,77,88,2926
1996,199596,Academic year,National,E92000001,England,Final,Spanish,Male,NA,25,22.2,20.2,13.8,9.1,9.8,25,47,67,81,90,1169
1996,199596,Academic year,National,E92000001,England,Final,Sociology,All students,NA,11.5,16,16.2,16.9,13.8,25.6,12,28,44,61,74,21361
1996,199596,Academic year,National,E92000001,England,Final,Sociology,Female,NA,12.2,16.7,16.8,16.8,13.6,23.9,12,29,46,62,76,16078
1996,199596,Academic year,National,E92000001,England,Final,Sociology,Male,NA,9.4,13.8,14.4,17.1,14.3,31,9,23,38,55,69,5283
1996,199596,Academic year,National,E92000001,England,Final,Religious studies,All students,NA,14.4,20,23.9,20,11.9,9.8,14,34,58,78,90,6728
1996,199596,Academic year,National,E92000001,England,Final,Religious studies,Female,NA,14.1,19.8,24.2,19.9,12.4,9.6,14,34,58,78,90,4981
1996,199596,Academic year,National,E92000001,England,Final,Religious studies,Male,NA,15.4,20.5,22.9,20.4,10.5,10.2,15,36,59,79,90,1747
1996,199596,Academic year,National,E92000001,England,Final,Psychology,All students,NA,11.4,16.9,18.4,17.3,14.6,21.3,11,28,47,64,79,18057
1996,199596,Academic year,National,E92000001,England,Final,Psychology,Female,NA,12.6,18.1,19.1,17.7,14,18.6,13,31,50,68,82,13568
1996,199596,Academic year,National,E92000001,England,Final,Psychology,Male,NA,7.9,13.4,16.3,16.2,16.5,29.7,8,21,38,54,70,4489
1996,199596,Academic year,National,E92000001,England,Final,Physics,All students,NA,20.7,19.2,17.9,15.6,12.9,13.7,21,40,58,73,86,28400
1996,199596,Academic year,National,E92000001,England,Final,Physics,Female,NA,21.2,21.7,18.5,14.6,11.3,12.7,21,43,61,76,87,5957
1996,199596,Academic year,National,E92000001,England,Final,Physics,Male,NA,20.6,18.5,17.8,15.9,13.3,14,21,39,57,73,86,22443
1996,199596,Academic year,National,E92000001,England,Final,Physical education,All students,NA,7.9,13.9,22.6,25.3,18.9,11.4,8,22,44,70,89,9042
1996,199596,Academic year,National,E92000001,England,Final,Physical education,Female,NA,11.9,17,23.5,21.3,15.6,10.6,12,29,52,74,89,3531
1996,199596,Academic year,National,E92000001,England,Final,Physical education,Male,NA,5.3,12,21.9,27.9,21,11.9,5,17,39,67,88,5511
1996,199596,Academic year,National,E92000001,England,Final,Other social studies,All students,NA,11.5,16.3,17.7,16.4,14,24.1,12,28,46,62,76,1783
1996,199596,Academic year,National,E92000001,England,Final,Other social studies,Female,NA,11.4,15.7,17.8,17.1,12.7,25.2,11,27,45,62,75,848
1996,199596,Academic year,National,E92000001,England,Final,Other social studies,Male,NA,11.6,16.9,17.5,15.8,15.1,23.1,12,28,46,62,77,935
1996,199596,Academic year,National,E92000001,England,Final,Other sciences,All students,NA,10.2,14.8,20.3,21.1,16.7,16.9,10,25,45,66,83,4194
1996,199596,Academic year,National,E92000001,England,Final,Other sciences,Female,NA,9.9,16.1,21.5,21.5,16.1,14.8,10,26,48,69,85,1537
1996,199596,Academic year,National,E92000001,England,Final,Other sciences,Male,NA,10.4,14,19.6,20.9,17,18.1,10,24,44,65,82,2657
1996,199596,Academic year,National,E92000001,England,Final,Other communication studies,All students,NA,9.3,17.7,23,18.3,13,18.7,9,27,50,68,81,6806
1996,199596,Academic year,National,E92000001,England,Final,Other communication studies,Female,NA,10,19.9,25.2,18.5,12,14.4,10,30,55,74,86,4465
1996,199596,Academic year,National,E92000001,England,Final,Other communication studies,Male,NA,8.1,13.5,18.9,17.8,14.9,26.9,8,22,40,58,73,2341
1996,199596,Academic year,National,E92000001,England,Final,Other  modern  languages,All students,NA,28.1,22.2,18.3,12.5,8.2,10.6,28,50,69,81,89,3435
1996,199596,Academic year,National,E92000001,England,Final,Other  modern  languages,Female,NA,28.3,23.7,20.4,12.3,7.3,8,28,52,72,85,92,1937
1996,199596,Academic year,National,E92000001,England,Final,Other  modern  languages,Male,NA,27.7,20.3,15.7,12.8,9.5,14,28,48,64,76,86,1498
