year,time_period,establishment_type,establishment_type_group,sex_gap,version
2016,201516,All FE sector colleges,All FE sector colleges,2.7,Revised
2017,201617,All FE sector colleges,All FE sector colleges,2.1,Revised
2018,201718,All FE sector colleges,All FE sector colleges,1.9,Revised
2019,201819,All FE sector colleges,All FE sector colleges,1.5,Revised
2020,201920,All FE sector colleges,All FE sector colleges,1.9,Final
2021,202021,All FE sector colleges,All FE sector colleges,2.4,Final
2022,202122,All FE sector colleges,All FE sector colleges,1.7,Revised
2023,202223,All FE sector colleges,All FE sector colleges,1.4,Revised
2024,202324,All FE sector colleges,All FE sector colleges,1.4,Revised
2025,202425,All FE sector colleges,All FE sector colleges,1.4,Provisional
2016,201516,Other FE sector colleges,All FE sector colleges,2.5,Revised
2017,201617,Other FE sector colleges,All FE sector colleges,1.8,Revised
2018,201718,Other FE sector colleges,All FE sector colleges,1.3,Revised
2019,201819,Other FE sector colleges,All FE sector colleges,1.9,Revised
2020,201920,Other FE sector colleges,All FE sector colleges,1.9,Final
2021,202021,Other FE sector colleges,All FE sector colleges,2.2,Final
2022,202122,Other FE sector colleges,All FE sector colleges,1.6,Revised
2023,202223,Other FE sector colleges,All FE sector colleges,1.4,Revised
2024,202324,Other FE sector colleges,All FE sector colleges,1.6,Revised
2025,202425,Other FE sector colleges,All FE sector colleges,1.8,Provisional
2016,201516,Sixth form colleges,All FE sector colleges,2.9,Revised
2017,201617,Sixth form colleges,All FE sector colleges,2.4,Revised
2018,201718,Sixth form colleges,All FE sector colleges,2.2,Revised
2019,201819,Sixth form colleges,All FE sector colleges,1.5,Revised
2020,201920,Sixth form colleges,All FE sector colleges,2.1,Final
2021,202021,Sixth form colleges,All FE sector colleges,2.7,Final
2022,202122,Sixth form colleges,All FE sector colleges,2.1,Revised
2023,202223,Sixth form colleges,All FE sector colleges,1.8,Revised
2024,202324,Sixth form colleges,All FE sector colleges,1.6,Revised
2025,202425,Sixth form colleges,All FE sector colleges,1.6,Provisional
2016,201516,All institutions,All Institutions,1.9,Revised
2017,201617,All institutions,All Institutions,1.6,Revised
2018,201718,All institutions,All Institutions,1.4,Revised
2019,201819,All institutions,All Institutions,1.3,Revised
2020,201920,All institutions,All Institutions,1.5,Final
2021,202021,All institutions,All Institutions,2,Final
2022,202122,All institutions,All Institutions,1.4,Revised
2023,202223,All institutions,All Institutions,1.2,Revised
2024,202324,All institutions,All Institutions,1.2,Revised
2025,202425,All institutions,All Institutions,0.9,Provisional
2016,201516,All independent schools,All independent schools,1.6,Revised
2017,201617,All independent schools,All independent schools,1.3,Revised
2018,201718,All independent schools,All independent schools,1.7,Revised
2019,201819,All independent schools,All independent schools,1.8,Revised
2020,201920,All independent schools,All independent schools,2,Final
2021,202021,All independent schools,All independent schools,2.4,Final
2022,202122,All independent schools,All independent schools,1.7,Revised
2023,202223,All independent schools,All independent schools,1,Revised
2024,202324,All independent schools,All independent schools,1.2,Revised
2025,202425,All independent schools,All independent schools,1.1,Provisional
2016,201516,Independent schools,All independent schools,1.6,Revised
2017,201617,Independent schools,All independent schools,1.3,Revised
2018,201718,Independent schools,All independent schools,1.7,Revised
2019,201819,Independent schools,All independent schools,1.7,Revised
2020,201920,Independent schools,All independent schools,2,Final
2021,202021,Independent schools,All independent schools,2.4,Final
2022,202122,Independent schools,All independent schools,1.6,Revised
2023,202223,Independent schools,All independent schools,1,Revised
2024,202324,Independent schools,All independent schools,1.1,Revised
2025,202425,Independent schools,All independent schools,1.1,Provisional
2016,201516,Independent special schools,All independent schools,-4.8,Revised
