time_period,time_identifier,geographic_level,country_code,country_name,characteristic_value,subject,percent_entered,number_of_students,version,year
202425,Academic year,National,E92000001,England,Female,Maths & further maths & biology & chemistry & physics & computer science,0,0,Revised,2025
202425,Academic year,National,E92000001,England,Male,Maths & further maths & biology & chemistry & physics & computer science,0,0,Revised,2025
202425,Academic year,National,E92000001,England,All students,Maths & further maths & biology & chemistry & physics & computer science,0,0,Revised,2025
202425,Academic year,National,E92000001,England,Female,Further maths & biology & chemistry & physics & computer science,0,0,Revised,2025
202425,Academic year,National,E92000001,England,Male,Further maths & biology & chemistry & physics & computer science,0,0,Revised,2025
202425,Academic year,National,E92000001,England,All students,Further maths & biology & chemistry & physics & computer science,0,0,Revised,2025
202425,Academic year,National,E92000001,England,Female,Maths & biology & chemistry & physics & computer science,0,0,Revised,2025
202425,Academic year,National,E92000001,England,Male,Maths & biology & chemistry & physics & computer science,0,0,Revised,2025
202425,Academic year,National,E92000001,England,All students,Maths & biology & chemistry & physics & computer science,0,0,Revised,2025
202425,Academic year,National,E92000001,England,Female,Maths & further maths & biology & chemistry & computer science,0,2,Revised,2025
202425,Academic year,National,E92000001,England,Male,Maths & further maths & biology & chemistry & computer science,0,2,Revised,2025
202425,Academic year,National,E92000001,England,All students,Maths & further maths & biology & chemistry & computer science,0,4,Revised,2025
202425,Academic year,National,E92000001,England,Female,Maths & further maths & biology & chemistry & physics,0,12,Revised,2025
202425,Academic year,National,E92000001,England,Male,Maths & further maths & biology & chemistry & physics,0,23,Revised,2025
202425,Academic year,National,E92000001,England,All students,Maths & further maths & biology & chemistry & physics,0,35,Revised,2025
202425,Academic year,National,E92000001,England,Female,Maths & further maths & biology & physics & computer science,NA,NA,Revised,2025
202425,Academic year,National,E92000001,England,Male,Maths & further maths & biology & physics & computer science,NA,NA,Revised,2025
202425,Academic year,National,E92000001,England,All students,Maths & further maths & biology & physics & computer science,0,1,Revised,2025
202425,Academic year,National,E92000001,England,Female,Maths & further maths & chemistry & physics & computer science,0,3,Revised,2025
